comment,sentiment_score
恶心心，本来就是想靠流量明星来捞一笔钱而已，礼貌代表演技？是不是上海理发店没麻药所以不能剪头发啊！流量是原罪吗？流量就是原罪。本来好好做他歌手谁管他，看着演员有钱就跑来了。不骂他骂谁？,0.982428811
有道理,0.590733591
大不了把那些片段放出来，我们粉丝自己剪啊啊啊啊,0.988292797
刘海太那啥了,0.870342554
哈哈哈哈哈哈哈哈哈哈哈哈哈哈xswl,0.999198456
微博可以转发（带签名）。合法,0.281152985
那是因为你带粉丝滤镜看的,0.755067668
加油,0.904761905
姐妹！去年生日鹿晗吧发的那个福利活动你还记得吗！,0.984130959
应该叫鹿晗姐姐sorry,0.714217424
果真是事事不如人意，难过的让人心颤…[淚],0.805403151
棒棒,0.996995973
今天光顾着看电影，积分任务还没完成，求互评啦,0.111442856
因为黑子太多，上海堡垒是个好片，演员的演技十分出色，虽然是配音，但是对上的地方特别多，最需要夸赞的就是特效，相当震撼,0.998687268
鹿晗粉丝不给力吧,0.490338839
别说了，我自闭了,0.365725693
今天也看到了,0.526232782
冲鸭大堡贝，真的蛮期待这种科幻巨制，期待鹿晗，期待上海堡垒,0.965034966
其实这部电影还是挺棒的啊大家如果去电影院看了的话就会知道其实蛮好看的,0.973370202
小鲜肉的数据可以刷出来但是票房这种真金白银，要想刷出来就难了,0.719786625
16090+,0.5
哇哦，厉害,0.359649123
你是不是傻,0.277216444
每个男孩子是不是都有拯救世界的梦想？期待《上海堡垒》，期待和我们一样平凡不畏的江洋,0.999972696
您们文案为何如此统一,0.982598887
我是被迫去看的，看完我想告诉平时爱看科幻的兄弟千万不要去看，可我又不想让他们知道我看了这电影，看这种电影有点丢人。,0.931799551
酷狗搜索【胡夏】快去提问吧,0.978933607
因为有鹿晗,0.473767218
特效很棒哦,0.88970611
随着他自己逐渐变胖，估计他的标准也有所修正,0.322602519
有点想哭……,0.803074304
大堡的贴片完就是正片,0.877893165
[加油][加油][加油],0.998227809
电影是不错的，yxh做做人吧,0.987392531
预测总票房是1.38亿，现在还没破亿,0.989665317
亲，超话换话题了,0.508384455
八点见,0.5
评论里可不可以别动不动就上升演员演技，这部片子最大的问题根本就不是演员，在科幻片里演员的演技不拖后腿就OK了，剧情才是电影的本质，再好的特效如果连贯完整的剧情作支撑也是白搭……,0.999930589
我16688可还行,0.697765521
电影放映前就眼巴巴的等着这个。还超紧张。,0.595533703
超级期待呀,0.616502549
